Date,ID_ABI_ABO,ID_Tematik,Plan,Real
1/1/2023,2,5,148,268
1/3/2023,1,2,155,162
1/5/2023,1,3,87,71
1/9/2023,2,1,232,50
1/10/2023,2,2,130,134
1/12/2023,2,3,273,158
1/14/2023,2,1,93,139
1/15/2023,1,1,18,138
1/16/2023,1,2,117,236
1/17/2023,2,2,197,172
1/18/2023,1,2,232,63
1/25/2023,2,2,76,242
1/27/2023,2,5,295,106
1/29/2023,1,3,145,154
2/6/2023,1,4,251,228
2/8/2023,2,3,182,150
2/8/2023,1,4,242,27
2/9/2023,1,5,235,133
2/11/2023,2,2,167,225
2/12/2023,2,2,30,116
2/12/2023,2,3,120,258
2/16/2023,2,4,182,139
2/16/2023,1,1,23,152
2/18/2023,1,2,201,270
2/19/2023,1,5,116,122
2/19/2023,2,3,109,69
2/22/2023,2,5,135,244
2/23/2023,1,1,18,108
2/24/2023,2,2,17,256
2/24/2023,2,4,154,145
3/1/2023,1,1,220,161
3/2/2023,1,2,34,48
3/3/2023,2,1,196,28
3/10/2023,2,3,263,47
3/14/2023,1,1,138,226
3/22/2023,1,5,147,193
3/23/2023,2,2,215,86
3/26/2023,2,2,126,230
3/27/2023,2,4,34,154
3/28/2023,2,5,34,252
3/28/2023,1,1,118,161
3/29/2023,2,5,287,180
4/2/2023,2,5,95,142
4/5/2023,2,2,259,171
4/5/2023,1,3,291,292
4/6/2023,2,3,174,191
4/8/2023,1,5,298,259
4/10/2023,2,2,23,11
4/12/2023,2,4,284,110
4/12/2023,1,3,223,188
4/16/2023,2,2,11,86
4/18/2023,1,1,137,238
4/19/2023,2,4,120,43
4/28/2023,1,3,71,203
5/2/2023,1,4,182,230
5/2/2023,2,2,115,132
5/3/2023,1,5,107,207
5/6/2023,2,1,294,194
5/8/2023,1,2,50,43
5/9/2023,1,5,14,95
5/9/2023,2,5,12,113
5/11/2023,2,5,117,181
5/12/2023,1,5,141,29
5/12/2023,1,5,51,98
5/13/2023,1,5,258,40
5/14/2023,1,4,23,82
5/16/2023,2,2,153,81
5/23/2023,1,3,102,233
5/29/2023,1,5,135,247
5/30/2023,2,2,189,179
5/31/2023,1,3,121,45
6/3/2023,2,3,95,194
6/5/2023,2,5,58,93
6/5/2023,1,4,260,139
6/7/2023,1,5,15,108
6/9/2023,1,2,76,67
6/9/2023,1,5,129,98
6/9/2023,1,4,235,20
6/11/2023,2,2,168,197
6/15/2023,2,3,226,298
6/18/2023,1,2,128,199
6/19/2023,1,2,292,131
6/21/2023,2,5,177,139
6/26/2023,1,3,159,163
6/26/2023,2,4,242,85
6/26/2023,1,5,291,72
7/5/2023,2,5,277,140
7/6/2023,2,5,70,207
7/6/2023,2,5,268,157
7/7/2023,1,4,161,45
7/9/2023,1,1,292,130
7/9/2023,2,3,272,89
7/9/2023,2,3,64,253
7/11/2023,1,4,202,31
7/11/2023,1,1,138,139
7/15/2023,2,2,19,14
7/18/2023,1,5,190,33
7/19/2023,1,1,182,78
7/25/2023,1,4,59,11
8/4/2023,2,5,145,270
8/4/2023,1,4,68,68
8/5/2023,2,4,50,166
8/13/2023,2,1,149,56
8/24/2023,1,3,121,264
8/30/2023,2,4,241,286
8/30/2023,2,1,62,101
9/1/2023,2,4,248,58
9/3/2023,2,5,179,256
9/7/2023,1,5,16,146
9/8/2023,1,3,93,217
9/11/2023,2,4,160,296
9/11/2023,2,5,207,60
9/13/2023,2,3,31,294
9/18/2023,1,1,173,296
9/20/2023,2,2,121,69
9/22/2023,1,4,215,232
9/26/2023,2,4,115,167
9/27/2023,2,3,222,174
9/30/2023,1,4,230,23
10/4/2023,2,4,104,161
10/6/2023,1,3,295,282
10/8/2023,1,3,164,102
10/11/2023,1,1,156,13
10/13/2023,1,4,240,297
10/18/2023,2,2,276,119
10/22/2023,2,5,55,164
10/30/2023,1,2,37,87
10/30/2023,2,5,93,271
10/30/2023,2,1,85,298
11/4/2023,2,5,291,205
11/5/2023,1,3,91,220
11/7/2023,1,2,123,154
11/7/2023,2,3,152,110
11/9/2023,1,2,72,253
11/11/2023,1,5,298,159
