Date,ID_ABI_ABO,ABI_ABO,ID_Tematik,Area_Tematik,Plan,Real
1/1/2023,2,ABO,5,Kesejahteraan dan inklusivitas kerja,148,268
1/3/2023,1,ABI,2,Kesehatan dan keselamatan kerja,155,162
1/5/2023,1,ABI,3,Infrastruktur dasar yang terjangkau,87,71
1/9/2023,2,ABO,1,Akses layanan esensial,232,50
1/10/2023,2,ABO,2,Kesehatan dan keselamatan kerja,130,134
1/12/2023,2,ABO,3,Infrastruktur dasar yang terjangkau,273,158
1/14/2023,2,ABO,1,Akses layanan esensial,93,139
1/15/2023,1,ABI,1,Akses layanan esensial,18,138
1/16/2023,1,ABI,2,Kesehatan dan keselamatan kerja,117,236
1/17/2023,2,ABO,2,Kesehatan dan keselamatan kerja,197,172
1/18/2023,1,ABI,2,Kesehatan dan keselamatan kerja,232,63
1/25/2023,2,ABO,2,Kesehatan dan keselamatan kerja,76,242
1/27/2023,2,ABO,5,Kesejahteraan dan inklusivitas kerja,295,106
1/29/2023,1,ABI,3,Infrastruktur dasar yang terjangkau,145,154
2/6/2023,1,ABI,4,Transisi perubahan iklim,251,228
2/8/2023,2,ABO,3,Infrastruktur dasar yang terjangkau,182,150
2/8/2023,1,ABI,4,Transisi perubahan iklim,242,27
2/9/2023,1,ABI,5,Kesejahteraan dan inklusivitas kerja,235,133
2/11/2023,2,ABO,2,Kesehatan dan keselamatan kerja,167,225
2/12/2023,2,ABO,2,Kesehatan dan keselamatan kerja,30,116
2/12/2023,2,ABO,3,Infrastruktur dasar yang terjangkau,120,258
2/16/2023,2,ABO,4,Transisi perubahan iklim,182,139
2/16/2023,1,ABI,1,Akses layanan esensial,23,152
2/18/2023,1,ABI,2,Kesehatan dan keselamatan kerja,201,270
2/19/2023,1,ABI,5,Kesejahteraan dan inklusivitas kerja,116,122
2/19/2023,2,ABO,3,Infrastruktur dasar yang terjangkau,109,69
2/22/2023,2,ABO,5,Kesejahteraan dan inklusivitas kerja,135,244
2/23/2023,1,ABI,1,Akses layanan esensial,18,108
2/24/2023,2,ABO,2,Kesehatan dan keselamatan kerja,17,256
2/24/2023,2,ABO,4,Transisi perubahan iklim,154,145
3/1/2023,1,ABI,1,Akses layanan esensial,220,161
3/2/2023,1,ABI,2,Kesehatan dan keselamatan kerja,34,48
3/3/2023,2,ABO,1,Akses layanan esensial,196,28
3/10/2023,2,ABO,3,Infrastruktur dasar yang terjangkau,263,47
3/14/2023,1,ABI,1,Akses layanan esensial,138,226
3/22/2023,1,ABI,5,Kesejahteraan dan inklusivitas kerja,147,193
3/23/2023,2,ABO,2,Kesehatan dan keselamatan kerja,215,86
3/26/2023,2,ABO,2,Kesehatan dan keselamatan kerja,126,230
3/27/2023,2,ABO,4,Transisi perubahan iklim,34,154
